,title,subtitle,link
0,AN APPLE A DAY,Millions of iPhone owners urged to check hidden menu unlocked by secret code,https://www.thesun.co.uk/tech/20625930/apple-iphone-call-forwarding-code/
1,RED ALERT,Google issues urgent safety alert to millions over stolen passwords,https://www.thesun.co.uk/tech/20624607/google-stolen-passwords-android-checkup-how/
2,FACE OFF,Urgent warning issued to millions of Facebook users over 'hidden' danger,https://www.thesun.co.uk/tech/20617249/facebook-scam-marks-and-spencer-warning/
3,REAL DEAL,Amazon selling Alexa speaker for just £9.99 – perfect for a Christmas stocking,https://www.thesun.co.uk/tech/20612116/amazon-echo-flex-deal-christmas-cheap/
4,SPOT ON?,Spotify Wrapped prediction reveals 'most likely release date' for 2022 launch,https://www.thesun.co.uk/tech/20587299/spotify-wrapped-release-date-prediction/
5,MERRY TECH-MAS,Game-changing Ring Doorbell alert could save your Christmas,https://www.thesun.co.uk/tech/20625162/ring-doorbell-package-alerts-how/
6,GOOG GRIEF!,Change your Google Chrome settings now or it could cost you,https://www.thesun.co.uk/tech/20624470/google-chrome-change-settings-save-passwords/
7,I-SMART,All parents urged to learn important iPhone hack – or it could cost you,https://www.thesun.co.uk/tech/20586228/iphone-guided-access-how-trick/
8,SMARTER PHONE,People are just noticing amazing Android hack that everyone should check,https://www.thesun.co.uk/tech/20532781/android-maximum-volume-setting-limit-edit/
9,ALL CHANGE,Huge WhatsApp update changes how you send texts forever – check your phone now,https://www.thesun.co.uk/tech/20598645/whatsapp-forwarding-images-caption-media/
10,TOP SEARCHED,Queen was most Googled person of 2022 in the UK beating Hollywood celebs,https://www.thesun.co.uk/?p=20594574
11,I-SURPRISED!,People are just realising you can still use iPhone while locked,https://www.thesun.co.uk/tech/20611941/use-iphone-locked-how-features/
12,QUICK FLIX,Millions of Android owners get huge free Netflix perk – it's so easy to claim,https://www.thesun.co.uk/tech/20603240/android-netflix-free-perk/
13,GREAT SKY-DEA,People are just realising Sky TV has a very handy 'secret code',https://www.thesun.co.uk/tech/20598841/sky-tv-secret-code-delete-format-how/
14,MET OUR MATCH,Mark Zuckerberg creates 'ruthless and power seeking' AI that's lifelike,https://www.thesun.co.uk/tech/20623459/mark-zuckerberg-ruthless-power-hungry-ai-life/
15,SPOOKY SANDWICHES,Subway reveals AI sandwich fridge that listens in and records users,https://www.thesun.co.uk/tech/20584573/subway-creepy-ai-sandwich-fridge-records-users/
16,DREAM BEAM,China to build power plant in space 'by 2028' – and send energy back to Earth,https://www.thesun.co.uk/tech/20522923/china-solar-power-plant-2028/
17,HIGH FLYER,Inside China's new military 'stealth jet' with bizarre design to 'dodge radar',https://www.thesun.co.uk/tech/20428875/china-tail-less-aircraft-us-sixth-generation-fighter/
18,AI'LL BE DAMNED,Facebook forced to ban its AI after it made controversial comments,https://www.thesun.co.uk/tech/20495398/meta-withdraws-ai-galactica-controversy/
19,SMART PHONE,Here's a Samsung hack that allows you to see old deleted messages,https://www.thesun.co.uk/tech/20623307/samsung-hack-see-old-deleted-messages/
